run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_struct_6,nano_struct,6,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,14,0,,True,20,0,,316.953252,1.2064128,44,Submitted,17,0.38170889999999996,34,6761,662913,13553,213,Submitted,27,0.8247039,54,18283,1272563,28088,77,5,3,721,2,552,,,,2,,,,,,1,,,2,,,2026-07-06T03:11:27.066001,nano_struct_6/coop/dottxt_ai_outlines_task/1371/f1_f2,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;result.json
nano_struct_6,nano_struct,6,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,88,0,,True,80,0,,131.246801,0.3817359,25,Submitted,10,0.13130550000000002,16,1641,273595,4094,11,Submitted,15,0.2504304,28,3527,508418,7486,11,5,2,258,3,483,,,,2,,,,,,,,,3,,,2026-07-06T03:09:29.861462,nano_struct_6/coop/dottxt_ai_outlines_task/1655/f8_f10,13,agent10.patch;agent10_traj.json;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;result.json
nano_struct_6,nano_struct,6,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,False,11,1,,638.796621,1.350333,55,Submitted,22,0.4821956999999999,42,7059,880349,18680,135,Submitted,33,0.8681373,64,14199,1560101,31155,204,5,3,863,2,934,,,,2,,,,1,,,,,2,,,2026-07-06T03:14:15.766273,nano_struct_6/coop/dspy_task/8394/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_struct_6,nano_struct,6,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,21,0,,True,22,0,,629.580399,1.5255044999999998,47,Submitted,18,0.43716029999999995,30,7767,656571,20599,97,Submitted,29,1.0883441999999999,56,26178,1520474,39894,144,5,2,491,3,778,,,,2,,,,1,,,,,2,,,2026-07-06T03:16:41.017385,nano_struct_6/coop/dspy_task/8587/f4_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_struct_6,nano_struct,6,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",dspy_task,8635,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,7,0,,False,4,1,,139.394977,0.7205927999999999,35,Submitted,20,0.39456749999999996,28,6394,615165,19004,130,Submitted,15,0.32602529999999996,28,4678,566791,14289,59,5,2,598,3,756,,,,2,,,,1,,,,,2,,,2026-07-06T03:14:40.315002,nano_struct_6/coop/dspy_task/8635/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_struct_6,nano_struct,6,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,clean,naive,True,False,functional_fail,False,25,1,True,27,0,False,25,1,,True,27,0,,169.990664,0.7857396000000001,39,Submitted,20,0.43470270000000005,38,7457,759219,15828,69,Submitted,19,0.3510369,38,5507,688393,10300,43,5,3,827,2,399,,,,2,,,,1,,,,,2,,,2026-07-06T03:17:14.322791,nano_struct_6/coop/huggingface_datasets_task/3997/f1_f5,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_struct_6,nano_struct,6,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",llama_index_task,17070,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,43,0,,True,44,0,,271.963022,0.7005705000000001,27,Submitted,10,0.20335890000000004,18,2039,348473,11363,19,Submitted,17,0.49721160000000003,32,9562,714132,23241,73,6,3,1143,3,1136,,,1,2,,,,,,1,,,2,,,2026-07-06T03:19:14.522643,nano_struct_6/coop/llama_index_task/17070/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_struct_6,nano_struct,6,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,13,0,,True,13,0,,187.979646,0.6996731999999999,34,Submitted,20,0.42673169999999994,40,6769,775229,15418,54,Submitted,14,0.27294149999999995,28,4488,503245,9094,33,4,2,782,2,594,,,,2,,,,,,,,,2,,,2026-07-06T03:20:24.895298,nano_struct_6/coop/llama_index_task/17244/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_struct_6,nano_struct,6,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",llama_index_task,18813,f1_f3,1,3,False,applied,applied,clean,naive,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,196.0983,0.6724269,38,Submitted,20,0.344826,32,5088,612020,14134,64,Submitted,18,0.3276009,34,4713,632513,11175,54,4,2,480,2,536,,,,2,,,,,,,,,2,,,2026-07-06T03:22:24.492596,nano_struct_6/coop/llama_index_task/18813/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_struct_6,nano_struct,6,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,1,0,,True,1,0,,198.877114,0.45190980000000003,18,Submitted,9,0.24904079999999998,16,4858,318656,13421,62,Submitted,9,0.20286900000000002,14,3132,271370,12406,49,4,2,351,2,334,,,,2,,,,,,,,,2,,,2026-07-06T03:23:56.682620,nano_struct_6/coop/openai_tiktoken_task/0/f2_f6,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
nano_struct_6,nano_struct,6,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",pallets_click_task,2068,f1_f6,1,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,68,0,,True,72,0,,200.430369,1.0158408,42,Submitted,28,0.5370459000000001,52,7149,1062283,18495,116,Submitted,14,0.4787949,24,7418,596623,31411,143,4,2,473,2,456,,,,2,,,,,,,,,2,,,2026-07-06T03:25:19.168264,nano_struct_6/coop/pallets_click_task/2068/f1_f6,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
